Key,Translation
"Bestiary_FlavorText.npc_ArmoredSkeleton","Sometimes, the Necroavirus was able to animate corpses already deceased. These guards were part of exploration expeditions and died long before the infection began."
"Bestiary_FlavorText.npc_RockGolem","Concentrations of magic have collected within this stone, animating it.  It's unknown whether this golem has a consciousness."
"Bestiary_FlavorText.npc_Tim","Follow only if you be men of valor, for the entrance to this cave is guarded by a creature so foul, so cruel that no man yet has fought with it and lived!  Bones of full 50 men lie strewn about its lair, so brave knights, if you do doubt your courage or your strength, come no further!  For death awaits you all with nasty big pointy teeth."
"Bestiary_FlavorText.npc_RuneWizard","These Undead wizards draw power from the Arcane Artery located deep within the planet.  As a result, they are rarely seen this close to the surface."
"Bestiary_FlavorText.npc_CaveBat","For whatever reason these bats are highly aggressive compared to their Continent counterparts.  They're normally extremely cowardly."
"Bestiary_FlavorText.npc_GiantBat","Giant bats are large enough to see terrarians as possible food sources, so their aggression makes sense logically as opposed to their smaller counterparts."
"CommonBestiaryFlavor.Jellyfish","Jellyfish tentacles often stiffen when the jellyfish dies, causing the luminous material in them to be contained and usable in glowsticks.  Unlike the jellyfish of the Continent, which attack through barbs in their tentacles, these jellyfish discharge raw electricity."
"CommonBestiaryFlavor.Mimic","An escaped experiment from the Dungeon designed as a security measure. Unfortunately, they attacked indiscriminately even when one had the proper credentials."
"Bestiary_FlavorText.npc_GiantShelly","Some groups of Giant Shellies, Salamanders, and Crawdads try to meet on some islands in the archipelago.  Such occasions are so rare that no terrarians have claimed to see one."
"Bestiary_FlavorText.npc_LostGirl","Don't trust her..."
"Bestiary_FlavorText.npc_GraniteGolem","The Primordial Catalyst created the granite caves in order to monitor activity within the Archipelago. Granite Golems serve as the eyes and ears of the Primordial Catalyst."
"Bestiary_FlavorText.npc_GraniteFlyer","The exact reason for the Primordial Catalyst's indigo color is not known, but it's theorized that its cause is related to when it went berserk in conjunction to the Cypher's appearance later on in the world. This would also explain why the Primordial Catalyst, a being known for favoring technology over magic, would incorporate the latter into this creature."
"Bestiary_FlavorText.npc_GreekSkeleton","Hoplites were devout followers of the Core of Life prior to their demise.  Now they walk the halls of their temple to her, both they and their surroundings eroded beyond recognition."
"Bestiary_FlavorText.npc_Medusa","How ironic, believing that ritual sacrifice would honor the embodiment of life itself.  Why would the creator of life reward those who sow death?"
"Bestiary_FlavorText.npc_SporeSkeleton","The rampant fungus within this skeleton's system seems to have drastically altered its behavior.  Rather than their usual bloodthirsty self, it prioritizes propagation",
"Bestiary_FlavorText.npc_SporeBat","This bat is unfortunately beyond saving, removing the fungus from it would kill it at this point."
"Bestiary_FlavorText.npc_WallCreeperWall","While most spiders are imperceptible to the naked eye, some species native to the Archipelago feast on the latent magic there and grow to obscene sizes."
"Bestiary_FlavorText.npc_BlackRecluseWall","While most spiders are imperceptible to the naked eye, some species native to the Archipelago feast on the latent magic there and grow to obscene sizes."
"Bestiary_FlavorText.npc_IceSlime","In some of the more hostile areas, slimes try to camouflage themselves in order to more easily blend in with creatures that would try to attack them."
"Bestiary_FlavorText.npc_ZombieEskimo","The Necroavirus was at its strongest in cold environments. Couple that with the tundra's close proximity to the virus' origin point and you wonder why these zombies haven't already lost their flesh entirely."
"Bestiary_FlavorText.npc_IceGolem","The tundra was once a place infected by a spirit known as the Cypher. Once this spirit was utterly destroyed by the Dragons, its territory never fully thawed. It's theorized that the Ice Golem was one of this spirit's greatest champions."
"Bestiary_FlavorText.npc_Wolf","Once close to extinction at the beginning of the Age of Undead, many humans turned to dark arts at the first signs of infection and joined their ranks. For Terrarians, such a feat is impossible, but perhaps a temporary transformation is feasible?"
"Bestiary_FlavorText.npc_SpikedIceSlime","A slime which has been weaponized in order to better protect itself. In islands that contain an unusually high concentration of magic, these slimes can regenerate their spikes proportionally faster, allowing them to discharge more spikes at once."
"Bestiary_FlavorText.npc_CyanBeetle","Derpling Scouts are physically weaker than other derplings in order to evade detection from some of the more intelligent denizens of the Tundra.  They are here to monitor the activity of the descendants of the Gilled Dragons, though collecting data from the occasional Terrarian doesn't hurt either."
"Bestiary_FlavorText.npc_SnowFlinx","A fluffy creature originally from the Forest which evolved in order to survive in colder climates.  Their forest counterparts were hunted to extinction, but domestication of Snow Flinx has become increasingly popular in recent years, which will likely result in a resurgence."
"Bestiary_FlavorText.npc_ArmoredViking","A leader of the Vikings. They were infected rather quickly even by viking standards, so they were buried deeper than the others.  The reawakening of many spirits has allowed them to resurface."
"Bestiary_FlavorText.npc_IcyMerman","When the squirrels won the aquatic war, many Merfolk were forced onto land. Some made the terrible mistake of trying to make their home in the Tundra."
"Bestiary_FlavorText.npc_IceBat","Studies on these creatures seem to point to a kind of frigid pathogen infecting them and turning them into living ice.  Considering what created the Tundra, it doesn't sound all that unlikely..."
"Bestiary_FlavorText.npc_IceElemental","A lingering rune from a time long past, its form long forgotten."
"Bestiary_FlavorText.npc_IceTortoise","A peace offering from the derplings to the Gilled Dragons. Unfortunately, the latter was in no condition to accept such a gift."
"Bestiary_FlavorText.npc_Vulture","Scavengers of the desert surface tend to have a difficult time surviving, especially when their preference is Terrarian meat."
"Bestiary_FlavorText.npc_SandSlime","The stickiness of this slime's gelatinous form has resulted in the desert sand coating it in a fine film.  Thankfully, the slime is not harmed by this and even has better camouflage thanks to it."
"Bestiary_FlavorText.npc_LarvaeAntlion","Antlions made their home in the desert long after its initial creation. Unfortunately, they don't seem to be particularly friendly."
"CommonBestiaryFlavor.AntlionCharger","The main defenders of the nest.  They are so effective at keeping their home safe that a significant amount of their ranks have dwindled in strength in recent times."
"CommonBestiaryFlavor.Mummy","Interestingly, the material these creatures are made of does not seem to have originated from this biome, suggesting that these hollow constructs are from elsewhere.  Said material was likely created by a nearby civilization and blown in on the desert winds."
"Bestiary_FlavorText.npc_DesertGhoul","These creatures were once known as the Covetous.  They're still attracted to shiny things, but it's difficult to find those in the biome they reside in."
"Bestiary_FlavorText.npc_DesertBeast","Scaled Dragons were once particularly greedy among the dragon tribes, so it's only natural that some fell prey to the desert's original master..."
"Bestiary_FlavorText.npc_TombCrawlerHead","The creatures originally responsible for excavating the desert tunnels, Tomb Crawlers secrete a bizarre fluid which hardens sand to a quite sturdy degree."
"Bestiary_FlavorText.npc_Antlion","Antlion Chargers bring these antlions their victim's flesh ground into a sticky paste, which the latter solidify and preserve for later in pseudofossilized structures and veins within the nest. "
"Bestiary_FlavorText.npc_DesertScorpionWall","The large amount of magical radiation which has recently surfaced has allowed this scorpion to enter the next stage of its life cycle."
"CommonBestiaryFlavor.AntlionSwarmer","Antlions do not have a queen, meaning the Antlion Swarmers are the ones responsible for laying eggs and continuing the nest's life,"
"Bestiary_FlavorText.npc_DuneSplicerHead","An incredibly dangerous apex predator. These worms are at the absolute top of the desert's food chain and excrete molten mucus so hot that it's often confused for lava."
"Bestiary_FlavorText.npc_Tumbleweed","A possessed plant which has the rare properties of not being protected from strong winds by its innate wards.  It's currently unknown why exactly this is."
"Bestiary_FlavorText.npc_SandElemental","Not long after the Tundra's creation, a spirit called the Hoard was destroyed. It's infected territory, a massive mound of gold and gems, quickly experienced a structural collapse as its gold lost its luster and dissolved into sand.  This vengeful spirit is of one who was buried during the desert's creation."
"CommonBestiaryFlavor.Sandshark","Not related to their aquatic counterparts, it's thought that these creatures were originally statues that were given the gift of life by some higher power."
"Bestiary_FlavorText.npc_Crab","These docile creatures are constantly opening and closing their claws. Unfortunately, this coupled with their lack of self preservation often causes them to run into passerby and hurt them unintentionally."
"Bestiary_FlavorText.npc_SeaSnail","Constantly secreting a vibrant mucus, these snails are highly prized for their dyeing capabilities in squirrel, derpling, and terrarian societies alike. "
"Bestiary_FlavorText.npc_Shark","Once harmless creatures, Sharks unfortunately gained a taste for Terrarian flesh after Terrarians' evolution from humans."
"Bestiary_FlavorText.npc_Squid","An evolutionary flaw prevents these creatures from properly discharging their ink when threatened, unfortunately meaning that it's impossible to extract this ink without harming them."
"Bestiary_FlavorText.npc_Snatcher","Study of these creatures was integral to learning how to conceal derpling outposts from Terrarian influence."
"Bestiary_FlavorText.npc_GiantFlyingFox","Not actually related to flying foxes, which are a creature native to the Continent. Giant Flying Foxes are closely related to bats."
"Bestiary_FlavorText.npc_Derpling","Derpling Assessors are intentionally weaker than other derplings in order to more effectively gather data from Terrarians who happen to be paying the jungle a visit. It's considered a high honor to be selected tor this occupation, and participation is voluntary. Derpling minds are modular and can detach themselves from their body to return to their database on demise, so don't feel any qualms about killing them. Their Cyan color denotes their occupation."
"Bestiary_FlavorText.npc_SpikedJungleSlime","Some slimes in the war between Derplings and Moss Hornets absorbed enough stingers that they were able to repurpose them into a natural weapon."
"Bestiary_FlavorText.npc_LacBeetle","Derpling Cultivators are responsible for caring for the jungle plants, including extraction and cultivation of Chlorophyte, Nature's Gifts, and Life Fruit. Similarly to Derpling Miners, they are able to create hollow clones of themselves in order to perform multiple tasks at once."
"Bestiary_FlavorText.npc_DoctorBones","Unfortunately, a degree in archeology won't help you find a cure to a deadly zombie plague."
"Bestiary_FlavorText.npc_Bee","Extremely territorial, and for good reason. Honey is highly prized commodity in the Archipelago for its medicinal, alchemical, and culinary properties. Bees will fight mandible and stinger for their treasure."
"Bestiary_FlavorText.npc_BeeSmall","Extremely territorial, and for good reason. Honey is highly prized commodity in the Archipelago for its medicinal, alchemical, and culinary properties. Bees will fight mandible and stinger for their treasure."
"CommonBestiaryFlavor.Hornet","Unfortunately hornets will not heed the derpling's insistent demands that they stop attacking Terrarians. We apologize for the inconvenience."
"Bestiary_FlavorText.npc_MossHornet","Moss Hornet: Their extremely territorial behavior resulted in a short war between them and the Derplings. After the derplings won, they spared the lives of the remaining moss hornets due to their value to the jungle ecosystem."
"Bestiary_FlavorText.npc_Moth","A rare and mysterious sight, Moths are theorized to be some kind of emissary from the Core of Life.  They share a significant amount of DNA with derplings, suggesting they are descended from the Shelled Dragons as well."
"Bestiary_FlavorText.npc_ManEater","Study of these creatures was integral to learning how to conceal derpling outposts from Terrarian influence."
"Bestiary_FlavorText.npc_AngryTrapper","Angry in name only, these large plants aren't capable of feeling emotion.  The name likely stemmed from their flushed coloration."
"Bestiary_FlavorText.npc_JungleBat","A modified bat which is able to handle sunlight. Now there's no hope for you."
"Bestiary_FlavorText.npc_Piranha","These fish served as mounts for squirrel footsoldiers in the Aquatic War."
"Bestiary_FlavorText.npc_AnglerFish","An evolutionary failure of a fish with a useless lure that does little to attract prey in the dark."
"Bestiary_FlavorText.npc_Arapaima","The Arcane Artery these fish are native to is located incredibly deep underground. It's unknown how they made it this close to the surface."
"Bestiary_FlavorText.npc_GiantTortoise","Appointed Guardians of the jungle by derplings, giant tortoises are the bane of many an incompetent adventurer."
"Bestiary_FlavorText.npc_JungleCreeperWall","These spiders are coated in multicolored hairs which detect and map out their surroundings. As a result they are a more solitary and persistent counterpart to their nesting cousins."
"Bestiary_FlavorText.npc_MeteorHead","Elementals native to the Burning Belt, they cannot survive for long this low in the atmosphere."
"Bestiary_FlavorText.npc_DungeonSlime","The second model of slime to be created and the first to be mass produced, their key is encrypted with the proper credentials to access the secure containers within the dungeon."
"CommonBestiaryFlavor.AngryBones","You would be angry too, if you accidentally wandered into a death trap and met a fate worse than death."
"CommonBestiaryFlavor.BlueArmoredBones","The Marching Order was the second one to scope out this place. Their priorities were exploration rather than loot, so they didn't try to take any of the dungeon's treasures."
"Bestiary_FlavorText.npc_SkeletonSniper","A terrifying opponent with absolutely lethal firepower behind their rifle.  It's rare that they line up a shot, but once they do, it's usually already over."
"Bestiary_FlavorText.npc_TacticalSkeleton","Armed with equipment found in the nearby vicinity, this skeleton is not to be trifled with. Perhaps you could obtain some of it yourself if you defeat it."
"Bestiary_FlavorText.npc_SkeletonCommando","Explosive weaponry was outlawed on the Continent long ago and a rare sight in the Archipelago to begin with.  It was probably for a reason, so I advise you prepare yourself for the worst."
"CommonBestiaryFlavor.HellArmoredBones","The third and final group to try and raid the Dungeon was the Molten Legion.  Their searingly hot weaponry and tools allowed them to finally bypass security, but at a terrible cost..."
"CommonBestiaryFlavor.RustyArmoredBones","The first group to enter the dungeon was the Rusted Company.  Unfortunately their tradition of using rusted and degraded weapons didn't allow them to get very far."
"Bestiary_FlavorText.npc_BoneLee","Not all of the treasures the Dungeon has to offer were weaponry.  Some were body modifications and cybernetic enhancements."
"Bestiary_FlavorText.npc_Paladin","A champion, sent to destroy the Necroavirus at its source.  The Dungeon, our weapons development laboratory, was abandoned long before humans could discover it.  The irony is that the Necroavirus was meant for a threat that long predated the humans, but unfortunately once the pods containing it were breached, it reconfigured itself to attack the first non-derplings it saw.  All we could have done is desperately try to create a cure... we did, of course, but so many were lost..."
"Bestiary_FlavorText.npc_DarkCaster","The magic these skeletons wield is not innate. It's siphoned from one of the many artifacts located here.  Perhaps you could siphon some as well?"
"CommonBestiaryFlavor.Diabolist","The fires of the underworld combined with old derpling technology forged a powerful artifact that gave its wielder unparalleled area denial abilities.  If you wish to wield this power yourself, mind the flames."
"CommonBestiaryFlavor.Necromancer","This magic user does not actually practice necromancy, instead using an artifact so accurate that the Higher Beings hotly debate whether it should be altered in a dimensional shift.  Their arguments about it were once heard even from the Terrarian Plane."
"CommonBestiaryFlavor.RaggedCaster","Soul Energy is drawn from one's own demise. Undeath provides a small but constant amount of it, while Terrarians constantly have it radiating from them in large amounts in order to resurrect themselves.  Perhaps you could obtain this caster's artifact and use it better than they could?"
"Bestiary_FlavorText.npc_CursedSkull","A dangerous security measure which has gone mostly untouched since the Dungeon's creation. It has the ability to deny access to the terrarian's storage pocket dimension and render them defenseless."
"Bestiary_FlavorText.npc_GiantCursedSkull","Giant Cursed Skulls are only released when a catastrophic security failure occurs in the Dungeon.  Thankfully, they're not quite as dangerous as the Dungeon Guardians."
"Bestiary_FlavorText.npc_DungeonGuardian","Invalid credentials.  Terminating user."
"Bestiary_FlavorText.npc_DungeonSpirit","Concentrated soul energy from a particularly ancient Undead being put to rest.  Eventually, all infected with the Necroavirus will release these spirits on death."
"Bestiary_FlavorText.npc_LavaSlime","These slimes were adapted for the Underworld's extreme temperatures and exist to help derplings monitor the situation in the ruined demonic cities."
"Bestiary_FlavorText.npc_DemonTaxCollector","It seems like those shackles are bound to him by magical forces.  Perhaps the Dryad can help you break them?"
"Bestiary_FlavorText.npc_BoneSerpentHead","Contrary to popular belief, these dragons were actually part of the Furred tribe, not the scaled one.  They quickly and directly tried to cure the Necroavirus when it first appeared, but such aggressive and blunt behavior unfortunately turned the virus against them and forced them to retreat into the underworld.  Unfortunately the blazing heat could not protect most of them from their symptoms and as a result they went extinct anyway."
"Bestiary_FlavorText.npc_FireImp","The children of demons are far more in-tune with the fires of the Underworld than the adults, meaning they can meld with the heat to disappear and reappear elsewhere and fire bolts of flame so scorchingly hot that they can melt through the ash and brick of the Underworld in order to reach an unsuspecting Terrarian."
"CommonBestiaryFlavor.LavaBat","Some particularly sadistic demons witnessed some bats accidentally flying into the lava just above the Underworld and thought: what if it burned forever instead of melting?"
"Bestiary_FlavorText.npc_Demon","The maniacal denizens of the Underworld were once humans who fled deep into the earth to avoid infection.  They succeeded in evading it, but unfortunately the extremely potent and unholy magic present in this area caused a host of other issues such as mutating into feral or insane conduits for magic known today as the Demons.  They come in two distinct flavors: Mindless killing machine and terrifyingly cruel warlock."
"Bestiary_FlavorText.npc_VoodooDemon","The Guide handed some of the most fiercely covetous demons one of many keys to the Great Seal for safekeeping.  This key is an effigy of himself, the First Terrarian."
"Bestiary_FlavorText.npc_RedDevil","Some demons have killed so many other creatures that their forms have evolved into something somehow even more cruel and depraved than before."
"Bestiary_FlavorText.npc_WyvernHead","Feathered Dragons are the most physically unchanged of the five dragon tribes. They fled long ago into the high atmosphere when the Six Spirits revealed themselves and remained there ever since, constructing beautiful cities of cloud and sunplate.  An occasional curious one will sometimes fly to much lower altitudes in order to have some fun with Terrarians they deem strong enough."
"Bestiary_FlavorText.npc_Harpy","The servants and retainers of the Dragons were always brightly colored avian creatures, but for whatever reason those who serve the Feathered Tribe have become more and more humanoid over time.  They are often found in the lower atmosphere to protect the Feathered Dragons' territory and keep the area clear of waste."
"Bestiary_FlavorText.npc_MartianProbe","Even the Martians fear what lies beyond the Great Seal, so when only one layer is left they quickly must investigate any islands in the Archipelago where the seal has weakened."
"Bestiary_FlavorText.npc_Slimeling","Slimes in the corruption tend to be particularly durable and persistent, just in case they're found out to be spies by the natively corrupt creatures."
"Bestiary_FlavorText.npc_CorruptSlime","Not actually corrupted, these slimes are designed to blend into the biome in order to monitor the current state of the Corruption."
"Bestiary_FlavorText.npc_EaterofSouls","The Keeper of Knowledge's least favorite creatures.  Despite their frail and weak abilities, their swarming behaviors make them an incredibly unpopular creature among certain Higher Beings as well.  Doesn't actually eat souls, having a taste for flesh instead."
"Bestiary_FlavorText.npc_Corruptor","Long ago they were able to spread the Corruption's influence at will.  Thankfully, the Higher Beings took issue with this and shifted the dimensions to counteract this."
"Bestiary_FlavorText.npc_DevourerHead","The Corruption is actually highly disorganized compared to the other members of the Six Spirits, meaning that internal conflicts within the biome are much more common."
"Bestiary_FlavorText.npc_SeekerHead","Ebonstone is actually a densely woven writhing tapestry of wormlike creatures.  Now that this island in the archipelago has aged, some of the larger ones in this structure are finally beginning to hunger once again."
"Bestiary_FlavorText.npc_Clinger","Cursed Flames are a necessity for the metabolism of the larger corruption creatures to function, and Clingers produce this resource from their prey.  As a result, they have a more symbiotic relationship to other corruption creatures than any other, and attach themselves to the Ebonstone in order to distribute it among the dormant worms there.  If you look closely at the base of a Clinger, you can actually see this in action, as the light of Cursed Flames is bright enough to faintly illuminate the many digestive tracts connected to it."
"Bestiary_FlavorText.npc_Slimer","The corruption is beginning to seep into this slime and mutate it.  It will be decommissioned soon, but for now it's able to traverse into the more sensitive areas of the corruption unhindered."
"Bestiary_FlavorText.npc_CursedHammer","Some particularly foolish humans turned to the corruption's side during the War Against Darkness.  Their bodies were mutated beyond recognition, but their weapons were not."
"Bestiary_FlavorText.npc_BigMimicCorruption","A mimic which has consumed many corrupt souls, its form bloated and strengthened by their power.  Perhaps an artifact which contains the power of many souls could be used to summon one yourself?"
"CommonBestiaryFlavor.Pigron","The Gilled Dragons turned to the Six Spirits for power when the War of Light and Dark began. They retained their intelligence for the most part, but eventually sacrificed it in some obscene ritual in order to cripple the Shelled Dragons and transform them into the Derplings we know today."
"Bestiary_FlavorText.npc_DesertGhoulCorruption","The bright glow of the Cursed Flames stirs some instinctual need within these creatures. They consume it, even though it provides no sustenance for them."
"Bestiary_FlavorText.npc_Crimslime","These slimes simultaneously scout for the Derplings and work as small digestive organs for the Crimson, a design quirk initially proposed by a Yellow Derpling named R-52 which would allow it to completely fly under the crimson's radar as a spy."
"Bestiary_FlavorText.npc_FaceMonster","Their large orifices and sharp teeth make up the majority of their body, meaning they actually don't have any room for a stomach.  They hunt down food and take it to some of the crimson's digestive organs for metabolism there instead."
"Bestiary_FlavorText.npc_Crimera","The Crimson's first immune response manifests in these flying antibodies. Their many antennae allow them to relay information to other parts of the crimson and quickly detect their targets location."
"Bestiary_FlavorText.npc_BloodFeeder","These serve a similar role to Face Monsters, chewing through potential food without digesting it themselves.  Face Monsters are highly ineffective in the Crimson's bodily fluids, which is presumably why these were created."
"Bestiary_FlavorText.npc_BloodJelly","Blood Jellies serve as backup reserves of digestive bacteria which are released when a nearby food source is detected and swarm it.  If your skin feels particularly slimy after getting out of crimtane fluid, that means that the digestive process has already begun..."
"Bestiary_FlavorText.npc_FloatyGross","The Crimson has a unique ability among the Six which allows it to infect spirits themselves. "
"Bestiary_FlavorText.npc_IchorSticker","These receptacles for Ichor are highly valuable to the Crimson as they are used to weaken the magical wards of nearby terrain and allow for assimilation of it.  This is why you often see blocks turning a sickly, shiny yellow right before conversion, and can sometimes see a gold color traveling through the crimson's many veins for use elsewhere."
"Bestiary_FlavorText.npc_CrimsonAxe","Some particularly foolish humans turned to the crimson's side during the War Against Darkness.  Their bodies were assimilated into the whole or digested for sustenance, but their weapons were converted into an immune response, and could not be significantly altered in form."
"Bestiary_FlavorText.npc_BloodCrawlerWall","Rather than chewing up prey's flesh, these spider-like creatures directly siphon potential food's bodily fluids and process it themselves, leaving the remains for other crimson creatures to extract."
"Bestiary_FlavorText.npc_Herpling","These infected Derplings serve no greater purpose to the Crimtane whole.  A rather insulting fact, considering they were originally intended to serve as ambassadors from the Derplings in order to create a truce."
"Bestiary_FlavorText.npc_BigMimicCrimson","A mimic which has consumed many crimtane souls, its form bloated and strengthened by their power.  Perhaps an artifact which contains the power of many souls could be used to summon one yourself?"
"Bestiary_FlavorText.npc_BloodMummy","The crimson has given these mummies a purpose, utilizing them for the preservation of precious nutrients and food."
"Bestiary_FlavorText.npc_DesertGhoulCrimson","The crimson has taken advantage of these Ghouls' instinctual lust for shiny things, turning it into a makeshift Ichor receptacle."
"CommonBestiaryFlavor.Lamia","A follower of a Higher Being known as the Balance Bringer, who attempts to purify any of the Six by any means necessary.   They unfortunately don't know the difference between Terrarians and the rest of the ecosystem though."
"Bestiary_FlavorText.npc_DesertDjinn","Lesser sand elementals angered by darkness, these spirits embody pure hatred itself.  Perhaps you could harness their power?"
"Bestiary_FlavorText.npc_RainbowSlime","These slimes are many slimes amalgamated into one, their color changing properties intensified by the Hallow's power.  They are actually quite frustrating for derpling intel as they result in several duplicate copies of data being transmitted at once. "
"Bestiary_FlavorText.npc_Pixie","These larger children of the Empress are the male counterparts to fairies, meaning they do not mature into any kind of higher form more important for the hallow and instead act as its protectors."
"Bestiary_FlavorText.npc_Gastropod","A snail has made its home in this Slime and the hallow has gifted the both of them with the power of levitation.  It's unknown how they fire their lasers."
"Bestiary_FlavorText.npc_Unicorn","These are the highly aggressive primary purifiers of the hallowed lands.  They are actually responsible for the most deaths of random passerby out of any hallowed creature."
"Bestiary_FlavorText.npc_IlluminantSlime","These slimes are one of the few slimes that do not need to worry about blending in due to decent relations between the Hallow and Derplings.  Therefore, they work as a transceiver for the hallowed creatures to contact the derplings and vice versa."
"Bestiary_FlavorText.npc_ChaosElemental","A hallowed guard, originally developed by the derplings as part of their alliance.  Their teleportation abilities are highly unstable as they require frequent maintenance the hallow doesn't have time to perform. They're assigned to protect the Gelatin Crystals from outsiders."
"Bestiary_FlavorText.npc_IlluminantBat","These bats are actually highly intelligent and remember absolutely everything about everyone they encounter.  Unfortunately, this means they hold grudges against passerby for life.  They are also responsible for harvesting Gelatin Crystals, which hardens them into standard crystal shards."
"Bestiary_FlavorText.npc_EnchantedSword","Many paladins from the Continent have offered their weapons to the Hallow in order to aid it against the Spirits of Dark.  The hallow happily accepts such gifts."
"Bestiary_FlavorText.npc_BigMimicHallow","A mimic which has consumed many hallowed souls, its form bloated and strengthened by their power.  Perhaps an artifact which contains the power of many souls could be used to summon one yourself?"
"Bestiary_FlavorText.npc_DesertGhoulHallow","These Ghouls are attracted to the crystal shards and grind them into a psychedelic paste which can be used as a recreational drug.  Extraction of this paste is extremely difficult."
"CommonBestiaryFlavor.MushroomZombie","These zombies are more interested in spreading their fungal infection than their usual bloodthirsty rage."
"Bestiary_FlavorText.npc_AnomuraFungus","These fungal crustaceans are filled to the brim with spores, which explode into an infectious cloud on their demise."
"Bestiary_FlavorText.npc_MushiLadybug","Interestingly, these are not actually infected Ladybugs but existed far before the Dimensional Shift that brought ladybugs into the world."
"CommonBestiaryFlavor.FungiBulb","These are the primary propagators of the Mycelium.  They can burrow through many materials and as a result are uniquely suited for the job."
"Bestiary_FlavorText.npc_FungoFish","Even non-jellyfish exposed to the Mycelium's spores can become a Fungo Fish, this is one of the most horrifying transformations to witness in the Archipelago."
"Bestiary_FlavorText.npc_Lihzahrd","The Scaled Dragons were also crippled by the Gilled Dragons, though unlike the Derplings they never fulfilled the curse and as a result never recovered from it.  Their wings have long since atrophied due to the cramped quarters of their temple."
"Bestiary_FlavorText.npc_FlyingSnake","These infant Lihzahrds are born with wings, though this is a fleeting gift.  They have yet to choose a celestial body to associate with."
"Bestiary_FlavorText.npc_GoblinPeon","A hotly controversial talent among the Higher Beings these Goblins boast is the ability to deconstruct the wards of certain Terrarian structures. They are the only non-Terrarians known to be capable of such a thing. "
"Bestiary_FlavorText.npc_GoblinThief","In areas with high concentrations of Shadowflame, these thieves are nigh invisible.  Thankfully the Archipelago is not such a place."
"Bestiary_FlavorText.npc_GoblinArcher","Their primitive bows have highly increased firepower depending on how much Shadowflame the wielder contains."
"Bestiary_FlavorText.npc_GoblinWarrior","The tankiest of the goblins get their high constitution from imbuing their muscles with the shadowflame in their systems."
"Bestiary_FlavorText.npc_GoblinSummoner","The amount of shadowflame in this goblin's system has risen to nearly fatal levels.  The agony they experience cannot be understated."
"Bestiary_FlavorText.npc_GoblinSorcerer","This goblin has risen to the upper echelon of goblin society simply by being born with an above-average amount of shadowflame.  It's strong enough that they can hurl it in orbs of pure chaos."
"Bestiary_FlavorText.npc_ShadowFlameApparition","Shadowflame is an extreme manifestation of the darkness all humanoid creatures innately have.  It granted immunity to infection, so Humans tried to harness it, resulting in their eventual transformation into the Goblins."
"Bestiary_FlavorText.npc_DD2SkeletonT3","These skeletons were created from dead Etherian Goblins as a sort of minion recycling front.  Unfortunately the Dark Mages cannot summon them from dead goblins directly in this dimension."
"Bestiary_FlavorText.npc_DD2GoblinT3","A servant of the Old One, the lowest of the low.  The Eternia Crystal serves as a bait for them as it doesn't actually contain any of the Old Ones like in Etheria."
"Bestiary_FlavorText.npc_DD2GoblinBomberT3","Such units are highly disposable, so trusting one this incompetent with explosives is quite low-risk."
"Bestiary_FlavorText.npc_DD2KoboldWalkerT3","Considering that Kobolds have a reputation in this dimension for worshiping Dragons, I wonder how they would react to the five dragon tribes? Anyways, unlike the Goblin Bombers they actually enjoy wielding their explosives."
"Bestiary_FlavorText.npc_DD2JavelinstT3","We are unable to find any data on what race this creature actually is.  Is it an Etherian Goblin, or something else?"
"Bestiary_FlavorText.npc_DD2WitherBeastT3","A support unit which is able to heal and steal defenses from nearby entities.  Fortunately, their healing capabilities are far weaker outside of their home dimension and therefore only extend to themself here."
"Bestiary_FlavorText.npc_DD2DrakinT3","It's theorized that these are what certain types of dragons look like in Etheria."
"Bestiary_FlavorText.npc_DD2OgreT3","The similarity in genetics between this humanoid and Goblins make us wonder if there's some kind of intermediary phase between them in their homeworld."
"Bestiary_FlavorText.npc_DD2OgreT2","The similarity in genetics between this humanoid and Goblins make us wonder if there's some kind of intermediary phase between them in their homeworld."
"Bestiary_FlavorText.npc_DD2KoboldFlyerT3","Unfortunately for the kobold, those wings are purely artificial and quite frail."
"Bestiary_FlavorText.npc_DD2WyvernT3","Unlike the misnamed wyverns of Terraria, these actually fulfill the requirements for such a classification as they have two wings and two legs."
"Bestiary_FlavorText.npc_DD2DarkMageT1","Another support unit crippled by the trip to this world, how unfortunate."
"Bestiary_FlavorText.npc_DD2DarkMageT3","Another support unit crippled by the trip to this world, how unfortunate."
"Bestiary_FlavorText.npc_DD2Betsy","A large wyvern with a rather poor reputation among the Higher Beings for not being much of a threat.  It's still more dangerous than any other member of the Old One's Army, however.  "
"Bestiary_FlavorText.npc_DD2LightningBugT3","The sparking magic these lightning bugs wield can stun Terrarians with a blast of dark energy, crippling their offensive abilities."
"Bestiary_FlavorText.npc_PirateDeadeye","How a pirate with one eye missing can aim at all is a mystery.  How all pirates which wield this specific model of gun lost one eye specifically is an even bigger mystery."
"Bestiary_FlavorText.npc_PirateDeckhand","Not all members of the crew are particularly adept at combat, but no one wants to be left on the ship."
"Bestiary_FlavorText.npc_PirateCrossbower","Crossbows are a Terrarian invention, exclusively wielded by them.  Not many weapons can claim as such."
"Bestiary_FlavorText.npc_PirateCorsair","Their cutlasses are primitive even by the standards of Terrarian swords... "
"Bestiary_FlavorText.npc_PirateCaptain","The true threats of the pirate invasion, looking to loot an unsuspecting Terrarian colony."
